OID_,CGI,FREQUENCY,PCI,ECI,LONGITUDE (processed),LATITUDE (processed),angle,TAC,Down frequency,Bandwidth,Electrical Tilt,Mechanical Tilt,Antenna transmit power(dBm),Height
1,97780550,5,908,40050913280,106.7260665,29.52750374,90,9787648,630000,100M,0,6,24,26
2,97780560,20,807,40050917376,106.721213,29.50686034,40,9787648,630000,100M,0,0,24,29
3,97781691,10,660,40051380225,106.7300619,29.5203918,150,9787648,630000,100M,0,3,24,20
4,100927882,18,497,41340059650,106.7588414,29.60131073,220,10121472,630000,100M,0,6,24,29
5,100927885,36,959,41340059653,106.7656516,29.60515542,230,10121472,630000,100M,0,6,24,26
6,977834610,9,117,40052105226,106.8185669,29.4958313,335,9774592,630000,100M,3,0,24,28
7,10092548259,313,251,41339076867,106.7179336,29.59225518,0,10121472,636664,100M,6,3,24,20
8,10092548260,34,249,41339076868,106.7179336,29.59225518,90,10121472,636664,100M,6,3,24,20
9,10092578257,19,763,41339199745,106.7673845,29.59779031,210,10121472,636664,100M,0,5,24,28
10,10092578258,11,764,41339199746,106.7673845,29.59779031,320,10121472,636664,100M,6,12,24,28
11,10092582256,292,621,41339216128,106.7289954,29.59282053,120,10121472,636664,100M,6,3,24,28
12,10092582257,785,623,41339216129,106.7289954,29.59282053,210,10121472,636664,100M,6,3,24,28
13,10092582258,567,622,41339216130,106.7289954,29.59282053,330,10121472,636664,100M,6,3,24,28
14,10092616260,7,115,41339355396,106.7157308,29.59585115,100,10121472,636664,100M,6,5,24,30
15,10092616261,124,116,41339355397,106.7157308,29.59585115,170,10121472,636664,100M,6,6,24,30
16,10092653256,415,981,41339506944,106.7463202,29.57263811,0,10116864,636664,100M,6,2,24,25
17,10092653259,106,302,41339506947,106.7541166,29.5920025,70,10121472,636664,100M,0,4,16,8
18,10092653260,390,301,41339506948,106.7541166,29.5920025,200,10121472,636664,100M,0,4,16,8
19,10092653261,216,300,41339506949,106.7541166,29.5920025,300,10121472,636664,100M,0,4,16,8
20,10092668259,540,419,41339568387,106.7212442,29.58286284,110,10121472,636664,100M,0,8,24,26
21,10092668384,361,777,41339568512,106.7462975,29.60029101,360,10121472,636664,100M,0,0,24,0
22,10092668385,74,778,41339568513,106.7462975,29.60029101,360,10121472,636664,100M,0,0,24,0
23,10092673257,442,364,41339588865,106.6956074,29.60877901,170,10121472,630000,100M,6,6,24,20
24,10092692256,31,60,41339666688,106.7363832,29.5817155,40,10121472,636664,100M,6,12,24,99
25,10092692257,1186,61,41339666689,106.7363832,29.5817155,210,10121472,636664,100M,6,12,24,99
26,10092692258,93,62,41339666690,106.7363832,29.5817155,300,10121472,636664,100M,6,12,24,99
27,10092692259,364,108,41339666691,106.7360763,29.58845558,90,10121472,636664,100M,6,12,24,99
28,10092692260,396,109,41339666692,106.7360763,29.58845558,230,10121472,636664,100M,6,12,24,99
29,10092692261,172,110,41339666693,106.7360763,29.58845558,330,10121472,636664,100M,6,12,24,99
30,10092693256,41,393,41339670784,106.7326759,29.58657693,50,10121472,636664,100M,6,16,24,99
31,10092693257,91,394,41339670785,106.7326759,29.58657693,180,10121472,636664,100M,6,12,24,99
32,10092693258,149,395,41339670786,106.7326759,29.58657693,330,10121472,636664,100M,6,12,24,99
33,10092693259,316,243,41339670787,106.7339956,29.5807312,40,10121472,636664,100M,6,12,24,99
34,10092693260,1068,244,41339670788,106.7339956,29.5807312,220,10121472,636664,100M,6,12,24,99
35,10092693261,789,245,41339670789,106.7339956,29.5807312,350,10121472,636664,100M,6,12,24,99
36,10092721262,179,129,41339785478,106.7635483,29.58323834,80,10121472,636664,100M,0,4,24,20
37,10092721263,32,130,41339785479,106.7635483,29.58323834,170,10121472,636664,100M,0,4,24,20
38,10092721264,8,131,41339785480,106.7635483,29.58323834,280,10121472,636664,100M,0,4,24,20
39,10092721265,31,575,41339785481,106.7654686,29.58869428,20,10121472,636664,100M,0,6,16,26
40,10092721267,871,118,41339785483,106.7654686,29.58869428,230,10121472,636664,100M,0,6,16,26
