ID,TIME(BeiJing),LATITUDE,LONGITUDE,SPEED(M/s),ALT(M),ACCURACY(M),IS_OUTDOOR,MCC,MNC,NETWORK_TYPE,NCI,GNODEB,GCELLID,NR_TAC,NR_ARFCN,NR_BAND,NR_PCI,SS_RSRP,SS_RSRQ,SS_SINR,source_file
1,20250523 14:05:48.275,29.50784114,106.7038705,0,222,4,1,460,1,SA,41339986177,10092770,257,10121472,633984,N78,889,-93,-11,12,33First_UAV_collection-DT-20250523140548ms2.csv
2,20250523 14:05:49.288,29.50784114,106.7038705,0,222,4,1,460,1,SA,41339986177,10092770,257,10121472,633984,N78,889,-93,-11,14,33First_UAV_collection-DT-20250523140548ms2.csv
3,20250523 14:05:50.298,29.50784114,106.7038705,0,222,4,1,460,1,SA,41339986177,10092770,257,10121472,633984,N78,889,-93,-11,14,33First_UAV_collection-DT-20250523140548ms2.csv
4,20250523 14:05:51.318,29.50784114,106.7038705,0,222,4,1,460,1,SA,41339986177,10092770,257,10121472,633984,N78,889,-94,-11,14,33First_UAV_collection-DT-20250523140548ms2.csv
5,20250523 14:05:52.338,29.50784114,106.7038705,0,222,4,1,460,1,SA,41339986177,10092770,257,10121472,633984,N78,889,-94,-11,14,33First_UAV_collection-DT-20250523140548ms2.csv
6,20250523 14:05:53.364,29.50784114,106.7038705,0,222,4,1,460,1,SA,41339986177,10092770,257,10121472,633984,N78,889,-93,-11,12,33First_UAV_collection-DT-20250523140548ms2.csv
7,20250523 14:05:54.368,29.50784114,106.7038705,0,222,4,1,460,1,SA,41339986177,10092770,257,10121472,633984,N78,889,-93,-11,12,33First_UAV_collection-DT-20250523140548ms2.csv
8,20250523 14:05:55.389,29.50783136,106.7038763,0.33,223,4,1,460,1,SA,41339986177,10092770,257,10121472,633984,N78,889,-95,-11,10,33First_UAV_collection-DT-20250523140548ms2.csv
9,20250523 14:05:56.406,29.50782291,106.7038973,1.6,223,4,1,460,1,SA,41339986177,10092770,257,10121472,633984,N78,889,-95,-11,10,33First_UAV_collection-DT-20250523140548ms2.csv
10,20250523 14:05:57.434,29.50781962,106.7039104,0.55,223,4,1,460,1,SA,41339986177,10092770,257,10121472,633984,N78,889,-97,-11,10,33First_UAV_collection-DT-20250523140548ms2.csv
11,20250523 14:05:58.446,29.50781962,106.7039104,0.55,223,4,1,460,1,SA,41339986177,10092770,257,10121472,633984,N78,889,-97,-11,10,33First_UAV_collection-DT-20250523140548ms2.csv
12,20250523 14:05:59.465,29.50781962,106.7039104,0.55,223,4,1,460,1,SA,41339986177,10092770,257,10121472,633984,N78,889,-100,-12,10,33First_UAV_collection-DT-20250523140548ms2.csv
13,20250523 14:06:00.485,29.50782906,106.7039081,0,220,4,1,460,1,SA,41339986177,10092770,257,10121472,633984,N78,889,-100,-12,10,33First_UAV_collection-DT-20250523140548ms2.csv
14,20250523 14:06:01.509,29.50782906,106.7039081,0,220,4,1,460,1,SA,41339986177,10092770,257,10121472,633984,N78,889,-96,-12,8,33First_UAV_collection-DT-20250523140548ms2.csv
15,20250523 14:06:02.528,29.50783425,106.7038958,0,219,4,1,460,1,SA,41339986177,10092770,257,10121472,633984,N78,889,-96,-12,8,33First_UAV_collection-DT-20250523140548ms2.csv
16,20250523 14:06:03.546,29.50783425,106.7038958,0,219,4,1,460,1,SA,41339986177,10092770,257,10121472,633984,N78,889,-96,-11,10,33First_UAV_collection-DT-20250523140548ms2.csv
17,20250523 14:06:04.565,29.50783425,106.7038958,0,219,4,1,460,1,SA,41339986177,10092770,257,10121472,633984,N78,889,-96,-11,10,33First_UAV_collection-DT-20250523140548ms2.csv
18,20250523 14:06:05.576,29.50783425,106.7038958,0,219,4,1,460,1,SA,41339986177,10092770,257,10121472,633984,N78,889,-97,-11,13,33First_UAV_collection-DT-20250523140548ms2.csv
19,20250523 14:06:06.604,29.50785041,106.7038965,0.38,0,9,1,460,1,SA,41339986177,10092770,257,10121472,633984,N78,889,-97,-11,13,33First_UAV_collection-DT-20250523140548ms2.csv
20,20250523 14:06:07.607,29.50783059,106.703903,0,220,4,1,460,1,SA,41339986177,10092770,257,10121472,633984,N78,889,-97,-11,13,33First_UAV_collection-DT-20250523140548ms2.csv
21,20250523 14:06:08.612,29.50783059,106.703903,0,220,4,1,460,1,SA,41339986177,10092770,257,10121472,633984,N78,889,-97,-11,13,33First_UAV_collection-DT-20250523140548ms2.csv
